AÑO,1 PESO,2 PESOS,5 PESOS,10 PESOS,20 PESOS,20 PESOS (NUEVA FAMILIA),50 PESOS,50 PESOS (NUEVA FAMILIA) NACIONAL,50 PESOS (NUEVA FAMILIA) IMPORTADA,100 PESOS,100 PESOS (NUEVA FAMILIA) NACIONAL,100 PESOS (NUEVA FAMILIA) IMPORTADA,200 PESOS,200 PESOS (NUEVA FAMILIA) NACIONAL,200 PESOS ((NUEVA FAMILIA) IMPORTADA,500 PESOS,500 PESOS (NUEVA FAMILIA) NACIONAL,500 PESOS ((NUEVA FAMILIA) IMPORTADA,1.000 PESOS,1.000 PESOS (NUEVA FAMILIA) NACIONAL,1.000 PESOS (NUEVA FAMILIA) IMPORTADA,5.000 PESOS,10.000 PESOS,20.000 PESOS
2010,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,55100000,n. p.,n. p.,85400000,n. p.,n. p.,85600000,n. p.,n. p.,35800000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
2011,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,19100000,n. p.,n. p.,108500000,n. p.,n. p.,104000000,n. p.,n. p.,76200000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
2012,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,22300000,30816000,n. p.,20000000,72000000,n. p.,45000000,55000000,n. p.,40000000,22738000,n. p.,n. p.,27000000,n. p.,n. p.,n. p.,n. p.
2013,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,16800000,n. p.,n. p.,104000000,n. p.,n. p.,83400000,n. p.,n. p.,n. p.,n. p.,n. p.,90700000,n. p.,n. p.,n. p.,n. p.
2014,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,47000000,n. p.,n. p.,150000000,n. p.,n. p.,77000000,24000000 2/,n. p.,30000000,960.000 2/,n. p.,120000000,n. p.,n. p.,n. p.,n. p.
2015,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,69700000,n. p.,n. p.,215400000,n. p.,n. p.,156700000,98.480.000 2/,n. p.,67800000,116.840.000 2/,n. p.,102700000,65.128.000 2/,500.000 3/,n. p.,n. p.
2016,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,52000000,89.000.000 2/,n. p.,187300000,262.000.000 /2,n. p.,69100000,387.408.000 2/,n. p.,60200000,270.200.000 2/,n. p.,69100000,215.672.000 2/,n. p.,n. p.,n. p.
2017,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,35400000,36.000.000,n. p.,120600000,110000000,n. p.,62000000,156000000,n. p.,52000000,107000000,n. p.,48900000,92.000.000,50.000 /4,n. p.,n. p.
2018,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,96600000,n. p.,n. p.,66526000,n. p.,n. p.,n. p.,n. p.,n. p.,111400000,,n. p.,17900000,n. p.,n. p.,n. p.,n. p.
2019,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,93000000,n. p.,12200000,n. p.,n. p.,n. p.,n. p.,n. p.,40800000,88000000,n. p.,153700000,n. p.,n. p.,n. p.,n. p.
2020,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,86.400.000 /2,n. p.,88200000,n. p.,n. p.,70200000,n. p.,n. p.,125100000,n. p.,n. p.,75900000,n. p.,n. p.,n. p.,n. p.
2021,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,124.000.000 /2,n. p.,n. p.,147.400.000 /2,n. p.,106400000,n. p.,n. p.,166200000,n. p.,n. p.,53200000,n. p.,n. p.,550.000 /5,n. p.
2022,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,149.600.000 /2,n. p.,n. p.,154.800.000 /2,n. p.,159900000,n. p.,n. p.,168400000,n. p.,n. p.,85000000,n. p.,n. p.,n. p.,n. p.
2023,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,229.700.000 /2,n. p.,n. p.,216.400.000 /2,n. p.,157600000,65.800.000/2,n. p.,150800000,52000000,n. p.,232700000,n. p.,n. p.,200.000 /6,500.000 /7
2024,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,153.634.000 /2,n. p.,n. p.,236.704.000 /2,n. p.,160300000,85400000/2,n. p.,175500000,73200000,n. p.,46500000,119600000,n. p.,n. p.,"200,000 /8"
2024,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,"200,000 /9"
2025,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,150.800.000 /2,n. p.,n. p.,211.700.000 /2,n. p.,166400000,n. p.,n. p.,161800000,n. p.,n. p.,41700000,n. p.,n. p.,n. p.,n. p.
